date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:59	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Nov%202019%2021:22:58%20GMT	http://nyts.de/robots.txt		(from )
17:22:59	6763/6763	---M-Z	200	added ('OK')	text/html	etag:%221a6b-5563538aee25b-gzip%22	http://nyts.de/ps/	C:/My%20Web%20Sites/Talking%20Statues/nyts.de/ps/index.html	(from )
17:22:59	7708/7708	---M-Z	200	added ('OK')	text/css	etag:%221e1c-556353913e638-gzip%22	http://nyts.de/bower_components/normalize.css/normalize.css	C:/My%20Web%20Sites/Talking%20Statues/nyts.de/bower_components/normalize.css/normalize.css	(from http://nyts.de/ps/)
17:22:59	68796/68796	---M-Z	200	added ('OK')	text/css	etag:%2210cbc-55635390c25ce-gzip%22	http://nyts.de/bower_components/animate.css/animate.css	C:/My%20Web%20Sites/Talking%20Statues/nyts.de/bower_components/animate.css/animate.css	(from http://nyts.de/ps/)
17:23:00	7008/7008	---M-Z	200	added ('OK')	text/css	etag:%221b60-54bf28b56bc5a-gzip%22	http://nyts.de/res/css/style.css	C:/My%20Web%20Sites/Talking%20Statues/nyts.de/res/css/style.css	(from http://nyts.de/ps/)
17:23:01	4724/4724	---M--	200	added ('OK')	image/png	etag:%221274-5563538b097de%22	http://nyts.de/ps/splash.png	C:/My%20Web%20Sites/Talking%20Statues/nyts.de/ps/splash.png	(from http://nyts.de/ps/)
17:23:01	4176/4176	---M--	200	added ('OK')	image/gif	etag:%221050-54bf28b57a6bc%22	http://nyts.de/res/img/ajax-loader.gif	C:/My%20Web%20Sites/Talking%20Statues/nyts.de/res/img/ajax-loader.gif	(from http://nyts.de/ps/)
17:23:02	17545/17545	---M--	200	added ('OK')	image/png	etag:%224489-54bf28b641a4b%22	http://nyts.de/res/img/turn-phone.png	C:/My%20Web%20Sites/Talking%20Statues/nyts.de/res/img/turn-phone.png	(from http://nyts.de/ps/)
17:23:03	7232/7232	---M--	200	added ('OK')	image/png	etag:%221c40-54bf28b57d59c%22	http://nyts.de/res/img/call-decline.png	C:/My%20Web%20Sites/Talking%20Statues/nyts.de/res/img/call-decline.png	(from http://nyts.de/ps/)
17:23:03	6730/6730	---M--	200	added ('OK')	image/png	etag:%221a4a-54bf28b58141c%22	http://nyts.de/res/img/call-accept.png	C:/My%20Web%20Sites/Talking%20Statues/nyts.de/res/img/call-accept.png	(from http://nyts.de/ps/)
17:23:03	1133/1133	---M--	200	added ('OK')	image/png	etag:%2246d-54bf28b62e1ca%22	http://nyts.de/res/img/facebook.png	C:/My%20Web%20Sites/Talking%20Statues/nyts.de/res/img/facebook.png	(from http://nyts.de/ps/)
17:23:03	1234/1234	---M--	200	added ('OK')	image/png	etag:%224d2-54bf28b62e1ca%22	http://nyts.de/res/img/twitter.png	C:/My%20Web%20Sites/Talking%20Statues/nyts.de/res/img/twitter.png	(from http://nyts.de/ps/)
